agropoli AGR
ancona FF_
bari BAC
barletta BLT
benevento BEN
bergamo BGM
bisceglie BIG
bologna BC_
bolzano BLZ
brescia BSC
caserta CEA
conegliano CON
desenzano DSG
ferrara F__
firenze-santa-maria-novella SMN
foggia FG_
genova G__
Genova Brignole GB_
Genova Piazza Principe G__
lamezia-terme-centrale LON
latisana-lignano-bibione LTL
maratea MRT
milano-centrale MC_
milano-rho-fiera RRO
milano-rogoredo RG_
molfetta ML_
monfalcone MNF
napoli-afragola NAF
napoli-centrale NAC
padova PD_
Paola PAR
pesaro PY_
peschiera PSY
pisa 22187
pordenone PNE
portogruaro-caorle PGR
reggio-calabria RCE
reggio-emilia-av AAV
riccione RO_
rimini J__
roma-termini RMT
roma-tiburtina RTB
rosarno RUT
rovereto RVR
rovigo R__
salerno SAL
sapri SRI
scalea SDC
torino-porta-nuova TOP
torino-porta-susa OUE
trani TR_
trento TCN
treviso-centrale TVC
trieste TSC
udine UDN
vallo-lucania VLH
venezia-mestre VEM
venezia-santa-lucia VSL
verona-porta-nuova VPN
vibo-pizzo VIP
vicenza VIC
villa-san-giovanni VSG
